"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2010","2010","PC","Percentage","0","Units",,,12.57,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2011","2011","PC","Percentage","0","Units",,,12.97,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2012","2012","PC","Percentage","0","Units",,,11.56,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2013","2013","PC","Percentage","0","Units",,,12.09,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2014","2014","PC","Percentage","0","Units",,,11.26,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2015","2015","PC","Percentage","0","Units",,,13.15,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2016","2016","PC","Percentage","0","Units",,,13.5,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2017","2017","PC","Percentage","0","Units",,,12.89,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2018","2018","PC","Percentage","0","Units",,,12.7,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2019","2019","PC","Percentage","0","Units",,,12.11,,
"AUT","Austria","LOAN_GUARANTEES","Government loan guarantees, SMEs","2007","2007","EUR","Euro","6","Millions",,,341,,
"AUT","Austria","LOAN_GUARANTEES","Government loan guarantees, SMEs","2008","2008","EUR","Euro","6","Millions",,,164,,
"AUT","Austria","LOAN_GUARANTEES","Government loan guarantees, SMEs","2009","2009","EUR","Euro","6","Millions",,,214,,
